Name	Tax	Petition	Sort
"Abbey, Samuell"	7	Pro-P	1
"Andrew, Daniell"	36	Anti-P	2
"Barton, Samull"	4	NoS	3
"Beele, William"	6	NoS	4
"Bishop, Edward"	14	Anti-P	5
"Brabroock, Samuell"	6	Anti-P	6
"Buckley, William"	7	Anti-P	7
"Buxton, John"	27	Anti-P	8
"Chevers, Ezekell"	10	Pro-P	9
"Clayce, Peter"	12	NoS	10
"Dale, John"	8	Pro-P	11
"Darlin, John"	7	NoS	12
"Earles, william"	3	NoS	13
"Eliott, Daniell"	5	NoS	14
"Eliott, Francis"	4	Pro-P	15
"Flint, John"	15	Anti-P	16
"Flint, Joseph"	8	Anti-P	17
"Flint, Thomas"	29	Pro-P	18
"Fuller, Benjamin [ ]"	7	NoS	19
"Fuller, Benjemin inas"	7	NoS	20
"Fuller, Jacob"	12	NoS	21
"Fuller, Thomas Jun"	25	Pro-P	22
"Fuller, Thomas sen"	8	Anti-P	23
"Goodale, Zachiah"	25	Pro-P	24
"Greggs, William"	16	Pro-P	25
"Hadlock, John"	7	Pro-P	26
"Haines, Thomas"	19	Pro-P	27
"Herick, Joseph"	14	Anti-P	28
"Houlton, [Widow of Benj] "	2	NoS	29
"Houlton, Henery"	7	Pro-P	30
"Houlton, John"	6	Anti-P	31
"Houlton, Joseph sen"	8	Anti-P	32
"Houton, Joseph Jun"	15	Anti-P	33
Hutchinson Joseph Jun	16	Anti-P	34
"Hutchinson, Benjemin"	16	Pro-P	35
"Hutchinson, Joseph sen"	40	Anti-P	36
"Ingersell, Lett Nathll"	20	Pro-P	37
"Jacobs, Georg"	5	NoS	38
"Keney, Henery Jun"	8	NoS	39
"Keney, Henery sen"	6	Anti-P	40
"Lane, John"	5	NoS	41
"Lane, Samell"	5	Pro-P	42
"Murrall, Robart"	3	Pro-P	43
"Nurs[e], Francis"	8	Anti-P	44
"Nurse, Benjemin"	7	NoS	45
"Nurse, Samull"	15	Anti-P	46
"Osburn, Alexander"	18	Anti-P	47
"Phillips, walter"	12	NoS	48
"Pope, Joseph"	35	Anti-P	49
"Porter, Israell"	5	Anti-P	50
"Porter, Joseph"	50	Anti-P	51
"Prescott, Peter"	7	Pro-P	52
"Preston, Thomas"	15	Anti-P	53
"Putnam, Benjamin"	20	Pro-P	54
"Putnam, Capt John"	40	Pro-P	55
"Putnam, Edward"	20	Pro-P	56
"Putnam, James"	15	Pro-P	57
"Putnam, John Jun"	20	Pro-P	58
"Putnam, John Tartus [III]"	7	Pro-P	59
"Putnam, Jonathan"	23	Pro-P	60
"Putnam, Joseph"	34	Anti-P	61
"Putnam, Lett Nath"	40	Pro-P	62
"Putnam, mary [mrs.]"	30	NoS	63
"Putnam, Thomas"	20	Pro-P	64
"Ray, Samuell"	5	NoS	65
"Rayment, Thomas"	8	Anti-P	66
"Rea, Daniell"	24.5	NoS	67
"Rea, John"	7	Pro-P	68
"Rea, Joshua Jun"	12	Anti-P	69
"Rea, Joshua sen"	25	Anti-P	70
"Sebley, Samll"	8	Pro-P	71
"Sebley, william"	18	NoS	72
"Sheldon, william"	5	NoS	73
"Small, william"	7	Anti-P	74
"Smith, James"	10	NoS	75
"Stacey, Benjemin"	4	Pro-P	76
"Starns, Charles"	4	NoS	77
"Sweneton, Jesper"	7	Anti-P	78
"Sweneton, Job"	20	Anti-P	79
"Sweneton, Joseph"	7	Anti-P	80
"Tarbell, John"	15	Anti-P	81
"Tayler, william"	3	NoS	82
"Trask, Samull"	5	NoS	83
"Trumball, Joseph"	3	NoS	84
"Upton, Samuell"	4	Anti-P	85
"Upton, william"	4	Anti-P	86
"Walcott, Capt John"	21	Pro-P	87
"Walcott, John"	16	Pro-P	88
"Walott, Abraham"	8	Pro-P	89
"Way, Aron"	8	Pro-P	90
"Way, william"	13	Pro-P	91
"Wheldon, John"	16	Pro-P	92
"Wilkins, Bray"	8	Pro-P	93
"Wilkins, Thomas"	23	Anti-P	94
"Willard, John"	7	NoS	95
"Williams, Richard"	4	NoS	96
"Willkins, [Widdow of Samll]"	4	NoS	97
"Willkins, Benjemen"	16	Pro-P	98
"Willkins, Henery"	12	Pro-P	99
"Willkins, John"	11	Pro-P	100
